system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,Texture,class,elevation_normalized,random,.geo
1_2_69_0,3163.0,797.5,1039.0,1341.5,2609.0,-0.9991407,-0.0285788,-0.01559286,0.02444251129248073,2,0.058774605,0.0443021627722644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.63319786729167,41.89926639766693]}"
1_2_70_0,1800.0,313.5,471.0,573.0,3414.5,-0.99946904,0.004236222,0.008122094,0.014093173735611654,2,0.061546993,0.042446844169521714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.35994408070806,42.11459257127038]}"
1_2_71_0,3073.0,797.0,1082.0,1306.5,2997.5,-0.999049,0.003401343,-0.04106419,0.02098795418066403,2,0.064596616,0.4309952888604762,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.25141844582272,41.63084979077202]}"
1_2_72_0,2974.0,862.0,1173.0,1449.0,2530.0,-0.99923384,-0.018396338,0.01961917,0.03106347082260341,2,0.06210147,0.11104678055000183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.46566664108522,41.38614870737786]}"
1_2_74_0,2892.0,779.0,984.0,1297.0,2677.0,-0.99882233,-0.059673876,-0.018704355,0.02175504545764724,2,0.061269753,0.5869926748475812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.83936122499709,41.30880376141517]}"
1_2_75_0,2803.0,646.0,871.5,1081.0,2708.5,-0.9992282,-0.05547577,0.030357933,0.021516339098020407,2,0.06404214,0.553260440614023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.21952367895463,41.18887867098521]}"
1_2_76_0,2403.5,617.0,872.5,1154.5,2382.5,-0.9991521,-0.036444727,-0.009668044,0.021995589443069313,2,0.0723593,0.162962151228485,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.15216375549122,41.28374076498824]}"
1_2_77_0,2772.0,705.0,1070.0,1303.0,2811.0,-0.99907607,-0.058807928,-0.020584421,0.025217545696210746,2,0.061269753,0.09313321059437085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.08165057996969,41.395042028690646]}"
1_2_78_0,2234.0,491.0,689.0,913.0,2338.0,-0.99911684,-0.036236998,-0.020770641,0.07494586413417789,2,0.06237871,0.21608011069193633,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.48957097620651,41.60982921312362]}"
1_2_79_0,1768.0,265.0,453.5,295.0,2621.5,-0.99954784,-0.07770359,0.13397734,0.023214455294378065,2,0.07485445,0.05851155279817999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.72824877291521,42.023233906875426]}"
1_2_80_0,2077.0,335.0,541.5,437.5,2440.5,-0.99948937,0.05380786,0.05613162,0.03450116393102415,2,0.07402273,0.24934569489207214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.36308360992062,41.04038715452025]}"
1_2_81_0,1341.0,219.0,334.0,284.0,1832.0,-0.9996064,0.1181151,0.06303492,0.008285864153799114,2,0.095370114,0.439623835218347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.00411682238646,44.11154744786808]}"
1_2_84_0,2806.5,670.5,974.0,1063.0,3449.0,-0.99927014,-0.028309938,0.085041344,0.021298512235083198,2,0.061546993,0.061367939935191296,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.83054858664902,42.52422434082888]}"
1_2_85_0,3015.0,886.0,1092.0,1444.0,2768.0,-0.9992149,-0.015531636,0.016886888,0.017288906781759355,2,0.065705575,0.09405764339222422,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.65187367663765,42.90340322225573]}"
1_2_86_0,3032.0,843.0,1064.0,1442.0,2791.0,-0.9994189,-0.0028780329,0.056745045,0.016357485511188655,2,0.0637649,0.1321771864282547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.53087060786675,42.717990947613465]}"
1_2_88_0,1842.0,222.0,468.0,204.0,4403.0,-0.9996244,0.20874196,0.10095169,0.017755184700160676,2,0.09841974,0.7958760909987076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.79858685966177,44.5198317445004]}"
